Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2023 Australia Lunar Year of the Rabbit GILDED Gilt 1oz Silver $1 Coin w/ OGP,225232606668,"Mar 30, 2026",$188.97,$0.00,,,Fixed price,https://www.ebay.com/itm/225232606668,12
2023 P Australia Colored Silver Lunar Year of the Rabbit NGC MS70 1oz $1 Coin,266220108997,"May 13, 2026",$150.88,$43.55,,,Fixed price,https://www.ebay.com/itm/266220108997,16
2023 Australia 9999 Bullion Silver Lunar Year of the RABBIT NGC MS70 1oz $1 Coin,266021901728,"Apr 17, 2026",$171.25,$25.70,,,Fixed price,https://www.ebay.com/itm/266021901728,7
2023 Australia 9999 Bullion Silver Lunar Year of the RABBIT NGC MS69 1oz $1 Coin,255858963555,"Jan 26, 2026",$115.51,$0.00,,,Fixed price,https://www.ebay.com/itm/255858963555,5
2023 Australia Opal Series Lunar Year of the RABBIT 1oz Silver Proof $1 Coin,325500480134,"Apr 11, 2026",$339.83,$26.91,,,Fixed price,https://www.ebay.com/itm/325500480134,4
2023 LUNAR YEAR OF THE RABBIT QUADRANT SILVER $1 4-coin-set 4x 1oz Fan-shape,225405756686,"Jan 25, 2026",$498.18,$0.00,,,Fixed price,https://www.ebay.com/itm/225405756686,3
2023 Australia GILDED Silver Lunar Year of the RABBIT NGC MS 70 1oz Coin FR GILT,255876100954,"Jun 5, 2026",$311.53,$0.00,,,Fixed price,https://www.ebay.com/itm/255876100954,3
2023 Year of the Rabbit 1oz SILVER $1 Lunar Rotating Charm ANTIQUED COIN,325500490306,"Apr 9, 2026",$168.82,$0.00,,,Fixed price,https://www.ebay.com/itm/325500490306,3
2023 $1 Lunar Year of the Rabbit 1oz Silver BU Coin by Royal Australian Mint,117081756044,"Apr 27, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117081756044,2
,,"Mar 14, 2026",$155.00,$5.00,,,Fixed price,,4
,,"Jan 29, 2026",$139.50,$9.00,,,Fixed price,,2
2023 Australia PROOF Colored Silver Lunar Year of the RABBIT NGC PF69 1oz Coin F,255843019714,"Mar 18, 2026",$193.04,$59.60,,,Fixed price,https://www.ebay.com/itm/255843019714,2
2023 Australia Lunar Year Of The Rabbit High Relief 1oz Silver Coin NGC PF70 FR,255876097803,"Mar 30, 2026",$212.98,$0.00,,,Fixed price,https://www.ebay.com/itm/255876097803,2
2023 LUNAR Year of Rabbit 1oz $1 Silver Rotating Charm Antiqued Coin NGC MS69 FR,256001964415,"Jan 25, 2026",$143.79,$0.00,,,Fixed price,https://www.ebay.com/itm/256001964415,2
2023 Australia PROOF Silver Lunar Year of the Rabbit NGC PF70 1oz $1 Coin FR,265942986794,"Jan 25, 2026",$205.70,$28.46,,,Fixed price,https://www.ebay.com/itm/265942986794,2
2023 LUNAR Year of Rabbit 1oz $1 Silver Rotating Charm Antiqued Coin NGC MS70 FR,266161093264,"Apr 26, 2026",$249.12,$20.63,,,Fixed price,https://www.ebay.com/itm/266161093264,2
2023 Australia PROOF Lunar Year of the Rabbit 1oz Silver $1 Coin Series 3,325348821486,"Mar 2, 2026",$151.56,$0.00,,,Fixed price,https://www.ebay.com/itm/325348821486,2
,,"Jan 5, 2026",$100.00,$0.00,,,Fixed price,,2
,,"Mar 2, 2026",$143.00,$7.95,,,Fixed price,,1
,,"Jan 10, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Feb 18, 2026",$139.00,$0.00,,,Fixed price,,1
,,"Mar 22, 2026",$179.99,$5.52,,,Fixed price,,1
2023 Australia Silver 1oz Lunar Rabbit With Dragon Privy NGC MS70. Pop 67.,127829621535,"Apr 26, 2026",$139.00,$0.00,,,Fixed price,https://www.ebay.com/itm/127829621535,1
2023 Year Of The Rabbit 1oz Silver Gilded Coin- Perth Mint- Lunar Series III,127850844156,"May 11, 2026",$175.00,$5.97,,,Fixed price,https://www.ebay.com/itm/127850844156,1
LOT OF 5-2023 SILVER 1oz CHINESE NEW YEAR OF THE RABBIT LUNAR ROUND IN Assay,127936220412,"Jun 27, 2026",$310.00,$0.00,,,Auction,https://www.ebay.com/itm/127936220412,1
,,"Jan 27, 2026",$122.67,$0.00,,,Auction,,1
,,"Feb 4, 2026",$130.02,$0.00,,,Auction,,1
,,"Mar 14, 2026",$132.50,$5.89,,,Auction,,1
,,"Jan 29, 2026",$139.99,$7.95,,,Fixed price,,1
,,"Feb 20, 2026",$144.00,$4.95,,,Fixed price,,1
,,"Jan 22, 2026",$161.00,$4.00,,,Fixed price,,1
,,"Mar 15, 2026",$138.50,$0.36,,,Auction,,1
,,"Mar 15, 2026",$157.50,$0.41,,,Auction,,1
,,"Mar 15, 2026",$142.50,$0.37,,,Auction,,1
,,"Mar 15, 2026",$157.50,$5.00,,,Auction,,1
,,"Mar 15, 2026",$125.50,$0.32,,,Auction,,1
,,"Mar 10, 2026",$170.00,$5.00,,,Fixed price,,1
,,"Mar 15, 2026",$170.50,$0.44,,,Auction,,1
,,"Mar 15, 2026",$170.50,$0.44,,,Auction,,1
,,"Mar 15, 2026",$161.00,$5.00,,,Auction,,1
,,"Mar 15, 2026",$170.01,$0.44,,,Auction,,1
,,"Mar 15, 2026",$162.50,$0.48,,,Auction,,1
,,"Mar 15, 2026",$152.73,$0.39,,,Auction,,1
,,"Mar 15, 2026",$170.50,$0.44,,,Auction,,1
,,"Mar 15, 2026",$170.50,$0.44,,,Auction,,1
,,"Mar 15, 2026",$178.00,$2.51,,,Auction,,1
,,"Mar 15, 2026",$177.27,$2.49,,,Auction,,1
,,"Mar 15, 2026",$180.50,$0.47,,,Auction,,1
,,"Mar 30, 2026",$144.00,$5.25,,,Fixed price,,1
,,"Mar 19, 2026",$400.00,$0.00,,,Fixed price,,1
