Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2013 Australia 1oz Silver Colorized Lunar Series Snake BU,205754085119,"May 9, 2026",$105.00,$0.00,,,Fixed price,https://www.ebay.com/itm/205754085119,5
,,"Jan 23, 2026",$90.00,$4.85,,,Fixed price,,2
,,"Jan 10, 2026",$83.49,$4.99,,,Fixed price,,2
,,"Jan 12, 2026",$109.00,$7.50,,,Fixed price,,1
2013 Lunar Year of the Snake 1oz .999 Silver Coin Perth Australia Series II🐍,116569669398,"Jan 24, 2026",$113.95,$0.00,,,Fixed price,https://www.ebay.com/itm/116569669398,1
,,"Jan 11, 2026",$89.99,$0.00,,,Fixed price,,1
2013 Australia Year Of The Snake 1oz Silver Coin In Capsule,137255350335,"May 4, 2026",$95.00,$0.00,,,Fixed price,https://www.ebay.com/itm/137255350335,1
1oz Silver Bullion Coin Australian Lunar 2013 Year Of The Snake,147319874784,"May 26, 2026",$90.00,$9.45,,,Auction,https://www.ebay.com/itm/147319874784,1
,,"Feb 14, 2026",$90.00,$5.52,,,Auction,,1
,,"Mar 1, 2026",$103.50,$5.00,,,Auction,,1
2013 Australia Year of the Snake 1ST 1000 Struck 1oz .999 Silver Coin NGC MS70,198372605921,"May 29, 2026",$94.00,$7.00,,,Auction,https://www.ebay.com/itm/198372605921,1
,,"Feb 25, 2026",$133.00,$6.50,,,Fixed price,,2
,,"Jan 6, 2026",$79.00,$0.00,,,Fixed price,,1
2013 Lunar Year of the Snake 1oz .999 Silver Coin Perth Australia Series II🐍,257336133139,"May 3, 2026",$100.00,$5.17,,,Fixed price,https://www.ebay.com/itm/257336133139,1
,,"Mar 1, 2026",$96.00,$5.89,,,Auction,,1
,,"Jan 22, 2026",$102.50,$2.75,,,Auction,,1
2013 Tuvalu Lunar Good Fortune Year of the Snake 2x 1oz Silver Coin Set in OGP,306961658492,"Jun 5, 2026",$257.74,$0.00,,,Fixed price,https://www.ebay.com/itm/306961658492,1
,,"Jan 19, 2026",$93.59,$5.45,,,Fixed price,,1
,,"Jan 22, 2026",$110.00,$10.50,,,Fixed price,,1
,,"Jan 31, 2026",$90.88,$6.00,,,Auction,,1
,,"Feb 23, 2026",$125.00,$8.00,,,Fixed price,,1
