Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
2013 1.5 Euro Austria Vienna Philharmonic ICG MS69+ 1oz Silver,178108180964,"May 12, 2026",$78.00,$5.83,,,Auction,https://www.ebay.com/itm/178108180964,1
2013 Austria Philharmonic 1oz .999 Fine Silver UNC,127846021812,"May 11, 2026",$80.00,$5.28,,,Auction,https://www.ebay.com/itm/127846021812,1
2013 1.5 Euro Austria Philharmonic ICG MS69 1oz Silver,178101374702,"May 10, 2026",$75.00,$5.97,,,Auction,https://www.ebay.com/itm/178101374702,1
2013 1.5 Euro Austria Vienna Philharmonic ICG MS69+ 1oz Silver,188332774693,"May 7, 2026",$74.00,$5.97,,,Auction,https://www.ebay.com/itm/188332774693,1
2013 Austria Philharmonic 1oz Silver Coin / ANACS MS70 #1907D,306779931946,"Feb 24, 2026",$93.75,$2.75,,,Auction,https://www.ebay.com/itm/306779931946,1
,,"Feb 24, 2026",$93.75,$2.75,,,Auction,,1
,,"Feb 6, 2026",$86.00,$5.00,,,Auction,,1
,,"Feb 1, 2026",$446.00,$8.10,,,Auction,,1
,,"Jan 14, 2026",$90.00,$0.00,,,Fixed price,,1
,,"Jan 5, 2026",$78.00,$0.00,,,Auction,,1
2013 AUSTRIA 1oz. Silver Philharmonic - ANACS MS70,352102939904,"Dec 27, 2025",$75.00,$4.07,,,Fixed price,https://www.ebay.com/itm/352102939904,1
,,"Dec 17, 2025",$65.00,$8.10,,,Fixed price,,1
,,"Dec 5, 2025",$55.00,$0.00,,,Fixed price,,1
,,"Dec 4, 2025",$62.00,$0.00,,,Fixed price,,1
,,"Nov 28, 2025",$120.00,$0.00,,,Fixed price,,1
