Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL
2004 Libertad Silver 1 oz Mexico,117070723425,"Mar 9, 2026",$125.50,$3.16,,,Auction,https://www.ebay.com/itm/117070723425
,,"Jan 5, 2026",$120.00,$5.20,,,Fixed price,
"Ugly Mexico Libertad 2004, 1 Oz .999 Fine Silver Coin, 1 Oz Plata",127626084302,"Jan 20, 2026",$120.00,$5.40,,,Fixed price,https://www.ebay.com/itm/127626084302
2007 Mexico Libertad Onza Angel Of Peace & Joy 1 Oz .999 Fine Silver Coin,127702915597,"Feb 24, 2026",$225.00,$6.93,,,Auction,https://www.ebay.com/itm/127702915597
,,"Dec 29, 2025",$105.00,$5.15,,,Fixed price,
2004 Mexico Libertad Onza 999 Silver 1 oz Coin Plata Pura Bullion -RK912,147225078467,"Mar 28, 2026",$114.00,$5.07,,,Fixed price,https://www.ebay.com/itm/147225078467
,,"Dec 30, 2025",$117.00,$0.00,,,Fixed price,
2004 Mexico 1 oz Silver Libertad MS-69 NGC - RARE!,157684027753,"Feb 15, 2026",$425.00,$0.00,,,Fixed price,https://www.ebay.com/itm/157684027753
2013 libertad 1 oz .999 Silver Mexico,157785891550,"Apr 1, 2026",$81.30,$5.00,,,Auction,https://www.ebay.com/itm/157785891550
,,"Dec 23, 2025",$25.00,$7.35,,,Fixed price,
,,"Nov 17, 2025",$95.00,$2.75,,,Fixed price,
,,"Dec 16, 2025",$95.00,$7.35,,,Fixed price,
"Mexico Liberty 2004, 1 Oz .999 Fine Silver Coin, Oz Libertad Plata .999 KEY-DATE",167929026135,"Jan 12, 2026",$110.00,$7.35,,,Fixed price,https://www.ebay.com/itm/167929026135
,,"Dec 22, 2025",$95.00,$8.63,,,Fixed price,
,,"Nov 14, 2025",$95.00,$7.90,,,Fixed price,
,,"Nov 17, 2025",$95.00,$2.75,,,Fixed price,
,,"Dec 23, 2025",$93.00,$4.65,,,Fixed price,
2004 Mexico Libertad 1 Ounce .999 Fine Silver Coin AU,177819565770,"Jan 29, 2026",$115.00,$0.00,,,Fixed price,https://www.ebay.com/itm/177819565770
2004 Silver Mexican Libertad 1 Onza BU,178016662103,"Apr 3, 2026",$145.00,$0.00,,,Fixed price,https://www.ebay.com/itm/178016662103
,,"Oct 11, 2025",$625.00,$5.00,,,Fixed price,
,,"Nov 18, 2025",$157.50,$4.60,,,Auction,
,,"Nov 26, 2025",$103.58,$0.50,,,Auction,
2004 1/2 oz Mexico Silver Libertad Coin ~ BU in Capsule,188061868092,"Feb 16, 2026",$84.99,$5.25,,,Fixed price,https://www.ebay.com/itm/188061868092
2004 Mexico Libertad 1 oz Silver Coin,188142383713,"Mar 14, 2026",$180.00,$0.00,,,Fixed price,https://www.ebay.com/itm/188142383713
2004 Mexico 2 oz Libertad .999 Fine Silver + 2 1/20oz PR70DCAM CAC Graded Coins,198072401479,"Feb 9, 2026",$340.01,$5.00,,,Auction,https://www.ebay.com/itm/198072401479
,,"Oct 15, 2025",$284.99,$7.90,,,Fixed price,
,,"Jan 6, 2026",$120.89,$8.10,,,Fixed price,
2004 Libertad 1 Oz Silver .9999 Mexico Nice,205792026744,"Feb 5, 2026",$132.99,$8.30,,,Fixed price,https://www.ebay.com/itm/205792026744
,,"Nov 23, 2025",$111.59,$7.90,,,Fixed price,
,,"Nov 25, 2025",$32.00,$4.92,,,Fixed price,
,,"Oct 18, 2025",$18.00,$4.46,,,Fixed price,
,,"Nov 30, 2025",$81.00,$0.00,,,Auction,
,,"Nov 29, 2025","$1,875.00",$0.00,,,Auction,
,,"Dec 8, 2025","$1,950.00",$0.00,,,Auction,
2004 Mexico Libertad 1 Ounce.999 Fine Silver Coin Bu,236577076277,"Jan 11, 2026",$99.95,$5.00,,,Fixed price,https://www.ebay.com/itm/236577076277
2004 Mexico 1/10 oz .999 Silver Libertad (B030),236637905446,"Feb 16, 2026",$55.00,$5.20,,,Fixed price,https://www.ebay.com/itm/236637905446
2004 Mexico 1 oz .999 Fine Silver Libertad,236724616572,"Apr 5, 2026",$96.00,$0.00,,,Auction,https://www.ebay.com/itm/236724616572
2 x 2004 Mexico 1 oz .999 Fine Silver Libertad,236724809045,"Apr 5, 2026",$217.50,$0.00,,,Auction,https://www.ebay.com/itm/236724809045
,,"Nov 9, 2025",$125.00,$3.22,,,Auction,
,,"Nov 9, 2025",$316.00,$6.00,,,Auction,
,,"Nov 7, 2025",$77.00,$5.95,,,Auction,
2004 1/2 oz Mexico .999 Silver Libertad Coin ~ in Capsule,267580866725,"Mar 17, 2026",$89.95,$0.00,,,Fixed price,https://www.ebay.com/itm/267580866725
2003 & 2004 Mexico Silver Libertad 1/2 oz .999 Fine Silver Coins,267612740308,"Apr 4, 2026",$100.10,$1.62,,,Auction,https://www.ebay.com/itm/267612740308
2004 Mexico 1 oz Silver Libertad MS66 NGC,277642715894,"Jan 12, 2026",$132.95,$0.00,,,Fixed price,https://www.ebay.com/itm/277642715894
2004 Mexico 1 Onza Silver Libertad PCGS MS68 | .999 Fine 1 oz Certified,287138906255,"Feb 15, 2026",$299.00,$5.39,,,Auction,https://www.ebay.com/itm/287138906255
2004 Mexico Libertad Onza Pura Plata 1 oz .999 Silver Coin *Better Date*,287144854808,"Feb 22, 2026",$137.50,$3.99,,,Auction,https://www.ebay.com/itm/287144854808
2004 Mexican Libertad 1 Onza Plata Pura 1 Ounce .999 Fine Silver Coin - Gem BU,287222387415,"Mar 21, 2026",$125.00,$0.00,,,Fixed price,https://www.ebay.com/itm/287222387415
2004 libertad 1 oz .999 Silver Mexico 1A,297859442836,"Jan 28, 2026",$149.00,$5.99,,,Fixed price,https://www.ebay.com/itm/297859442836
,,"Oct 28, 2025",$127.50,$5.99,,,Auction,
2004 Estado Sinaloa 1 oz .999 Silver Coin in OGP Fold out Holder! Rare Find!,157797573668,"Apr 9, 2026",$108.80,$0.00,,,Auction,https://www.ebay.com/itm/157797573668
,,"Jan 11, 2026",$99.95,$5.00,,,Fixed price,
Beautiful 2004 Libertad 1 Oz .999 Silver Mexico BLUE RING TONER,257405607459,"Mar 14, 2026",$263.00,$5.20,,,Fixed price,https://www.ebay.com/itm/257405607459
,,"Jan 12, 2026",$110.00,$7.35,,,Fixed price,,1
,,"Jan 12, 2026",$132.95,$0.00,,,Fixed price,,1
,,"Nov 7, 2025",$81.00,$5.99,,,Auction,,1
,,"Jan 3, 2026",$299.99,$10.00,,,Fixed price,,1
2004 Mexico Libertad 1/20 Onza Silver Coin 1/20 Ounce Guaranteed Authentic 2104,306825534549,"Mar 20, 2026",$44.08,$0.00,,,Fixed price,https://www.ebay.com/itm/306825534549,1
,,"Oct 17, 2025",$107.50,$0.00,,,Auction,,1
,,"Nov 11, 2025",$87.00,$4.60,,,Auction,,1
,,"Nov 18, 2025",$72.00,$4.60,,,Auction,,1
,,"Nov 22, 2025",$84.00,$4.95,,,Auction,,1
,,"Dec 28, 2025",$199.00,$4.95,,,Auction,,1
2004 Mexican Libertad 1 Oz .999 Fine Silver Coin Plata Pura KEY-DATE,317848742110,"Feb 12, 2026",$179.95,$0.00,,,Fixed price,https://www.ebay.com/itm/317848742110,1
2004 Mo Mexico Libertad Onza 1 oz .999 Silver BU - SKU-Q3321,317887921312,"Feb 22, 2026",$155.00,$5.50,,,Fixed price,https://www.ebay.com/itm/317887921312,1
,,"Nov 18, 2025",$59.00,$5.95,,,Auction,,1
,,"Nov 23, 2025",$56.99,$5.95,,,Auction,,1
,,"Dec 25, 2025",$126.00,$5.95,,,Auction,,1
"Mexico Liberty 2004, 1 Oz .999 Fine Silver Coin, Oz Libertad Plata 999",327017481369,"Feb 26, 2026",$132.00,$8.00,,,Fixed price,https://www.ebay.com/itm/327017481369,1
"Mexico Liberty 2004, 1 Oz .999 Fine Silver Coin, Una Oz Libertad Plata Pura .999",327083633366,"Apr 11, 2026",$115.00,$5.40,,,Fixed price,https://www.ebay.com/itm/327083633366,1
,,"Oct 24, 2025",$189.00,$5.95,,,Fixed price,,1
,,"Nov 30, 2025",$78.10,$0.00,,,Auction,,1
,,"Dec 8, 2025","$1,862.00",$0.00,,,Auction,,1
,,"Dec 19, 2025",$181.50,$0.00,,,Auction,,1
2004 Mo 1 Oz Silver Mexico Libertad NGC MS66. BRIGHT COIN. NO RESRVE!!,336394067342,"Jan 27, 2026",$144.50,$3.99,,,Auction,https://www.ebay.com/itm/336394067342,1
2004 Libertad 1 oz Silver Coin .999 Fine Mexico,336395356728,"Jan 23, 2026",$133.50,$5.52,,,Auction,https://www.ebay.com/itm/336395356728,1
2004 Mo 1 Oz Silver Mexico Libertad NGC MS66. BRIGHT COIN. NO RESRVE!!,336411902346,"Feb 10, 2026",$163.50,$3.99,,,Auction,https://www.ebay.com/itm/336411902346,1
2004 Mo 1 Oz Silver Mexico Libertad NGC MS67. BRIGHT COIN. NO RESRVE!!,336456588801,"Mar 10, 2026",$160.50,$3.99,,,Auction,https://www.ebay.com/itm/336456588801,1
2004 Mexico 1 oz .999 Fine Silver Libertad,336509139491,"Apr 5, 2026",$112.50,$0.00,,,Auction,https://www.ebay.com/itm/336509139491,1
2004 Mexico Libertad Onza Angel Of Peace & Joy 1 Oz .999 Fine Silver Coin,358147591106,"Feb 4, 2026",$202.50,$3.00,,,Auction,https://www.ebay.com/itm/358147591106,1
,,"Dec 26, 2025",$122.50,$3.99,,,Auction,,1
,,"Jan 6, 2026",$173.50,$3.99,,,Auction,,1
2004 Mo 1 Oz Silver Mexico Libertad NGC MS67. BRIGHT COIN. NO RESRVE!!,366201191786,"Feb 25, 2026",$180.27,$3.99,,,Auction,https://www.ebay.com/itm/366201191786,1
2004 Mo 1 Oz Silver Mexico Libertad NGC MS67. BRIGHT COIN. NO RESRVE!!,366273759735,"Mar 24, 2026",$194.50,$3.99,,,Auction,https://www.ebay.com/itm/366273759735,1
Mexico Libertad 1 Oz Silver 2004,375714686204,"Jan 5, 2026",$229.00,$100.00,,,Fixed price,https://www.ebay.com/itm/375714686204,1
2004 1/2 oz Mexico Silver Libertad Coin (BU) NICE,375827792794,"Jan 13, 2026",$65.09,$7.90,,,Fixed price,https://www.ebay.com/itm/375827792794,1
,,"Dec 28, 2025",$44.95,$0.00,,,Fixed price,,1
Rare Mexico 2004 1/20th oz Silver Libertad - Angel Coin with box and paper,376481989574,"Feb 26, 2026",$50.00,$7.70,,,Fixed price,https://www.ebay.com/itm/376481989574,1
,,"Dec 28, 2025",$295.95,$0.00,,,Fixed price,,1
2004 Mexico Libertad 1 oz. Silver Coin - PCGS MS67,376819967210,"Feb 10, 2026",$209.95,$0.00,,,Fixed price,https://www.ebay.com/itm/376819967210,1
2004 libertad 1 oz Mexico .999 Silver. Z5,377034744355,"Apr 3, 2026",$119.99,$8.30,,,Fixed price,https://www.ebay.com/itm/377034744355,1
2004 libertad 1 oz Mexico .999 Silver. M88,377034768802,"Mar 24, 2026",$113.99,$8.30,,,Fixed price,https://www.ebay.com/itm/377034768802,1
2004 Mexico Libertad-Una Onza .999 Silver 1 oz. Coin,377079543666,"Apr 11, 2026",$132.50,$5.13,,,Auction,https://www.ebay.com/itm/377079543666,1
2004 libertad 1 oz .999 Silver Mexico,388853424527,"Jan 25, 2026",$129.99,$4.88,,,Fixed price,https://www.ebay.com/itm/388853424527,1
2004 libertad 1 oz .999 Silver Mexico 1A,389074182569,"Jan 18, 2026",$149.99,$5.40,,,Fixed price,https://www.ebay.com/itm/389074182569,1
,,"Oct 16, 2025",$119.99,$4.95,,,Fixed price,,1
,,"Oct 18, 2025",$62.89,$6.99,,,Auction,,1
2004 libertad 1 oz .999 Silver Mexico R2,389111688168,"Apr 10, 2026",$159.99,$4.88,,,Fixed price,https://www.ebay.com/itm/389111688168,1
,,"Oct 25, 2025",$64.99,$6.99,,,Auction,,1
2004 libertad 1 oz .999 Silver Mexico J7,389119171746,"Mar 5, 2026",$150.00,$5.07,,,Fixed price,https://www.ebay.com/itm/389119171746,1
,,"Nov 7, 2025",$83.00,$7.20,,,Auction,,1
,,"Nov 8, 2025",$69.99,$2.16,,,Auction,,1
,,"Nov 9, 2025",$129.99,$4.03,,,Auction,,1
,,"Dec 6, 2025",$69.99,$6.99,,,Auction,,1
,,"Dec 13, 2025",$69.99,$6.99,,,Auction,,1
,,"Dec 17, 2025",$129.99,$8.99,,,Auction,,1
