Item Title,Item ID,Sold Date,Sold Price,Shipping,Condition,Seller,Format,Item URL,Quantity Sold
1894 Liberty V Nickel AG / CULL / LOW GRADE FULL READABLE DATE HOLE FILLER,326903645281,"May 5, 2026",$6.43,$0.00,,,Fixed price,https://www.ebay.com/itm/326903645281,19
1894 Liberty V Nickel G,126590375286,"May 6, 2026",$6.79,$0.00,,,Fixed price,https://www.ebay.com/itm/126590375286,23
1894 Liberty V Nickel G/VG Nice Coin!,226274255975,"Mar 21, 2026",$26.66,$0.00,,,Fixed price,https://www.ebay.com/itm/226274255975,3
1894 Liberty Head V Nickel Good,113806114552,"May 4, 2026",$23.52,$0.00,,,Fixed price,https://www.ebay.com/itm/113806114552,2
1894 LIBERTY V NICKEL HAND PICKED GOOD TO VERY GOOD,225760041391,"May 7, 2026",$28.50,$0.00,,,Fixed price,https://www.ebay.com/itm/225760041391,2
,,"Feb 13, 2026",$6.32,$0.00,,,Fixed price,,2
1894 Liberty Nickel - Better Date - Partial “BERTY” Shown,115502902987,"Apr 10, 2026",$22.00,$5.00,,,Fixed price,https://www.ebay.com/itm/115502902987,1
Liberty “V” Nickels 5 Consecutive Dates - All Good or Better,116430194419,"Apr 5, 2026",$9.50,$1.00,,,Fixed price,https://www.ebay.com/itm/116430194419,1
,,"Dec 16, 2025",$95.00,$4.99,,,Fixed price,,1
,,"Nov 17, 2025",$8.10,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$9.45,$0.00,,,Fixed price,,1
,,"Nov 21, 2025",$5.00,$0.00,,,Fixed price,,1
,,"Nov 23, 2025",$2.00,$0.00,,,Fixed price,,1
"1894 5c NGC PR-66 BLACK AND WHITE; NO CAMEO??? GEM+++Proof Liberty ""V"" NICKEL",116898395601,"Mar 13, 2026",$799.00,$0.00,,,Fixed price,https://www.ebay.com/itm/116898395601,1
,,"Dec 21, 2025",$8.01,$0.00,,,Auction,,1
,,"Jan 4, 2026",$21.99,$7.98,,,Auction,,1
,,"Jan 4, 2026",$5.50,$1.03,,,Auction,,1
,,"Jan 6, 2026",$107.99,$7.98,,,Auction,,1
,,"Jan 20, 2026",$34.00,$6.98,,,Fixed price,,1
"7 Liberty Nickel lot V Nickel NB3, all semi key - 1883, 1884, 1888, 1894, 1891",116977994511,"Mar 19, 2026",$42.50,$7.98,,,Fixed price,https://www.ebay.com/itm/116977994511,1
,,"Feb 4, 2026",$47.00,$7.98,,,Fixed price,,1
,,"Feb 12, 2026",$2.25,$2.50,,,Auction,,1
"1894 Liberty Head V Nickel VG - F ""Actual Coin Pictured - Not Cleaned""",117073243019,"Mar 16, 2026",$76.50,$0.00,,,Fixed price,https://www.ebay.com/itm/117073243019,1
"1894 Liberty Head V Nickel G ""Actual Coin Pictured - Not Cleaned""",117085325237,"Apr 25, 2026",$18.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117085325237,1
1894 Semi-Key Date Liberty V Nickel -c,117089795461,"Apr 4, 2026",$16.00,$0.00,,,Fixed price,https://www.ebay.com/itm/117089795461,1
1894 Liberty Head v Nickel Full Date Semi Key Date (G)?,117163118804,"May 3, 2026",$2.75,$2.50,,,Auction,https://www.ebay.com/itm/117163118804,1
1894 Cents Liberty Nickel,126936367027,"Mar 1, 2026",$9.95,$6.00,,,Fixed price,https://www.ebay.com/itm/126936367027,1
"1894 Liberty Head V Nickel ""Not Cleaned - Actual Coin Pictured""",127079351051,"Mar 5, 2026",$5.85,$0.00,,,Fixed price,https://www.ebay.com/itm/127079351051,1
,,"Nov 27, 2025",$9.95,$0.00,,,Fixed price,,1
,,"Dec 24, 2025",$17.99,$0.00,,,Fixed price,,1
,,"Nov 27, 2025",$13.50,$0.00,,,Fixed price,,1
,,"Nov 17, 2025",$6.30,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$3.49,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$207.50,$3.66,,,Auction,,1
,,"Jan 4, 2026",$15.74,$0.00,,,Fixed price,,1
,,"Nov 26, 2025",$4.99,$0.00,,,Fixed price,,1
,,"Dec 13, 2025",$8.10,$0.00,,,Fixed price,,1
"1894 Liberty Head V Nickel ""Actual Coin Pictured - Not Cleaned""",127565874455,"Mar 10, 2026",$14.63,$0.00,,,Fixed price,https://www.ebay.com/itm/127565874455,1
,,"Dec 27, 2025",$14.74,$0.00,,,Fixed price,,1
Lot Of 10 Different V Nickels 1894-1912 All Readable Dates And Mintmarks,127587602769,"Apr 2, 2026",$10.00,$5.45,,,Fixed price,https://www.ebay.com/itm/127587602769,1
,,"Jan 13, 2026",$14.74,$0.00,,,Fixed price,,1
,,"Feb 3, 2026",$16.95,$4.85,,,Auction,,1
